A1955J99R36Q  C2005 09 04.06447 01 57 37.95 -19 11 09.7          16.3 Rro0919157
A1955         C2005 09 10.00277 02 43 14.88 -13 29 59.4                rp1709084
A1955         C2005 09 10.00378 02 43 15.45 -13 29 53.5                rp1709084
A1955         C2005 09 12.58139 03 12 19.17 -09 11 06.5          15.8 Rc~0Ldh608
A1955         C2005 09 12.59223 03 12 26.70 -09 09 49.5          16.0 Rc~0Ldh608
A1955         C2005 09 12.63331 03 12 55.18 -09 04 55.1          15.4 Rc~0Ldh608
A1955J99R36Q  C2005 09 13.36846 03 22 54.51 -07 33 16.2          15.7 Vro1560703
A1955J99R36Q  C2005 09 13.37748 03 23 01.46 -07 32 05.6          15.8 Vro1560703
A1955J99R36Q  C2005 09 13.38646 03 23 08.41 -07 30 55.2          15.8 Vro1560703
A1955J99R36Q  C2005 09 13.39543 03 23 15.32 -07 29 45.0          15.7 Vro1560703
A1955J99R36Q  C2005 09 14.73201 03 43 07.43 -04 17 42.7          16.0 Vro1560379
A1955J99R36Q  C2005 09 14.73453 03 43 09.67 -04 17 19.4          16.2 Vro1561379
A1955J99R36Q  C2005 09 14.73537 03 43 10.41 -04 17 11.4          16.2 Vro1561379
A1955J99R36Q  C2005 09 14.73620 03 43 11.15 -04 17 03.8          16.0 Vro1561379
A1955J99R36Q  C2005 09 14.73851 03 43 13.19 -04 16 42.4          16.0 Vro1561379
A1955J99R36Q  C2005 09 14.74271 03 43 16.88 -04 16 03.1          15.7 Vro1561379
A1955J99R36Q  C2005 09 14.74354 03 43 17.60 -04 15 55.2          15.7 Vro1561379
A1955J99R36Q  C2005 09 14.74829 03 43 21.83 -04 15 11.1          16.3 Vro1561379
A1955J99R36Q  C2005 09 14.74997 03 43 23.31 -04 14 55.6          16.1 Vro1561379
A1955J99R36Q  C2005 09 14.75081 03 43 24.06 -04 14 47.9          16.1 Vro1561379
A1955J99R36Q  C2005 09 17.39237 04 31 15.50 +03 40 12.0          15.8 Rco2158699
A1955J99R36Q  C2005 09 17.42744 04 31 55.78 +03 47 17.8                co2158699
A1955J99R36Q  C2005 09 17.45472 04 32 26.99 +03 52 49.3                co2158699
A1955         C2005 09 17.95543 04 42 53.90 +05 34 08.4                rp1709084
A1955         C2005 09 17.95585 04 42 54.41 +05 34 13.8                rp1709084
A1955         C2005 09 17.95626 04 42 54.92 +05 34 18.7                rp1709084
A1955         C2005 09 23.05099 06 44 04.18 +22 41 15.4                rp1709084
A1955         C2005 09 23.05141 06 44 04.75 +22 41 19.4                rp1709084
A1955         C2005 09 23.05347 06 44 07.73 +22 41 40.1                rp1709084
A1955         C2005 09 23.05397 06 44 08.41 +22 41 45.0                rp1709084
A1955         C2005 09 23.05480 06 44 09.62 +22 41 53.3                rp1709084
A1955         C2006 02 02.50424 14 49 02.23 -07 58 12.8          21.4 Vcq2636691
A1955         C2006 02 02.51672 14 49 03.18 -07 58 26.9          21.3 Vcq2636691
A1955         C2006 02 02.52921 14 49 04.13 -07 58 41.3          20.8 Vcq2636691
A1955         C2006 03 24.40380 14 56 39.58 -21 53 33.6          19.5 Vrq8080703
A1955         C2006 03 24.40816 14 56 39.08 -21 53 37.5          19.7 Vrq8080703
A1955         C2006 03 24.41259 14 56 38.58 -21 53 41.7          19.7 Vrq8080703
A1955         C2006 03 24.41704 14 56 37.96 -21 53 45.4          19.6 Vrq8080703
A1955         C2006 04 21.28842 13 39 01.53 -24 25 50.4          19.0 Roq9744644
A1955         C2006 04 21.31057 13 38 57.26 -24 25 45.6          18.5 Roq9744644
A1955         C2006 04 21.33166 13 38 53.26 -24 25 40.8          18.6 Roq9744644
A1955         C2006 04 29.58780 13 16 22.98 -23 37 01.7          19.1 Vrr1308E12
A1955         C2006 04 29.59677 13 16 21.54 -23 36 57.9          18.7 Vrr1308E12
A1955         C2006 04 29.60575 13 16 20.24 -23 36 54.3          18.3 Vrr1308E12
A1955         C2006 04 29.61476 13 16 18.80 -23 36 49.7          19.0 Vrr1308E12
A1955        4C2006 04 30.19498 13 14 57.69 -23 32 59.9                or1856290
A1955        4C2006 04 30.20006 13 14 56.93 -23 32 57.7                or1856290
A1955        4C2006 04 30.23145 13 14 52.19 -23 32 44.3                or1856290
A1955        4C2006 04 30.27551 13 14 45.51 -23 32 24.4          18.9 Ror1856290
A1955         C2006 05 22.24706 12 46 10.95 -20 54 09.3                or4423693
A1955         C2006 05 22.25212 12 46 10.83 -20 54 08.0                or4423693
A1955         C2006 05 22.25719 12 46 10.68 -20 54 06.4                or4423693
A1955         C2006 05 22.26225 12 46 10.55 -20 54 04.4                or4423693
A1955         C2006 05 22.26731 12 46 10.43 -20 54 02.4          20.5 Ror4423693
A1955         C2006 05 26.18432 12 45 26.16 -20 35 30.8                or4423693
A1955         C2006 05 26.18939 12 45 26.08 -20 35 30.0                or4423693
A1955         C2006 05 26.19446 12 45 26.02 -20 35 29.2                or4423693
A1955         C2006 05 26.19953 12 45 25.97 -20 35 27.1          20.8 Ror4423693
